,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,The Shawshank Redemption,(1994),142 min,9.3,82        ,"2,755,243",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,(1972),175 min,9.2,100        ,"1,917,005",$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,Spider-Man: Across the Spider-Verse,(2023),140 min,9.0,86        ,"143,321",#12,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
3,The Dark Knight,(2008),152 min,9.0,84        ,"2,728,126",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,Schindler's List,(1993),195 min,9.0,95        ,"1,388,904",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
5,12 Angry Men,(1957),96 min,9.0,97        ,"816,211",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        ,"1,892,415",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,The Godfather Part II,(1974),202 min,9.0,90        ,"1,305,102",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
8,Pulp Fiction,(1994),154 min,8.9,95        ,"2,115,925",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Inception,(2010),148 min,8.8,74        ,"2,421,184",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
10,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,920,926",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Fight Club,(1999),139 min,8.8,66        ,"2,193,825",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12,Forrest Gump,(1994),142 min,8.8,82        ,"2,143,203",$330.25M,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
13,"Il buono, il brutto, il cattivo",(1966),161 min,8.8,90        ,"779,407",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
14,The Lord of the Rings: The Two Towers,(2002),179 min,8.8,87        ,"1,707,917",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
15,Jai Bhim,(2021),164 min,8.8,****,"207,367",#219,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
16,777 Charlie,(2022),136 min,8.8,****,"35,146",%^%^%^,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
17,Rocketry: The Nambi Effect,(2022),157 min,8.8,****,"53,841",%^%^%^,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
18,Interstellar,(2014),169 min,8.7,74        ,"1,921,685",$188.02M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
19,GoodFellas,(1990),145 min,8.7,92        ,"1,195,814",$46.84M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
20,The Matrix,(1999),136 min,8.7,73        ,"1,963,793",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
21,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"1,031,242",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
22,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,325,021",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
23,Soorarai Pottru,(2020),153 min,8.7,****,"119,720",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
24,Saving Private Ryan,(1998),169 min,8.6,91        ,"1,427,592",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
25,The Green Mile,(1999),189 min,8.6,61        ,"1,339,662",$136.80M,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
26,Terminator 2: Judgment Day,(1991),137 min,8.6,75        ,"1,126,545",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
27,Se7en,(1995),127 min,8.6,65        ,"1,703,540",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
28,The Silence of the Lambs,(1991),118 min,8.6,86        ,"1,471,887",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
29,Star Wars,(1977),121 min,8.6,90        ,"1,397,274",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
